subset,metric,predicted,actual,n,prevalence,source,model,mean_dist
dist_bin3,aucroc,0.5569606538090666,0.6037333311181996,1632,0.16176470588235295,v4_combined,atm_tcr,-1.299354997845326
dist_bin4,aucroc,0.5420452502916056,0.4839100346020761,1632,0.16666666666666666,v4_combined,atm_tcr,0.4889491364925488
dist_bin5,aucroc,0.5345929224951884,0.49019499109265713,1632,0.3174019607843137,v4_combined,atm_tcr,0.8170676895742588
dist_bin6,aucroc,0.5346450580488059,0.4503976438283008,1632,0.25183823529411764,v4_combined,atm_tcr,0.9696178487145263
dist_bin7,aucroc,0.5332216496699822,0.42291274883413155,1634,0.17319461444308445,v4_combined,atm_tcr,1.1125160862776637
dist_bin0,aucroc,0.548972813136347,0.6189410807896507,1642,0.14190012180267966,mcpas,atm_tcr,-1.5426374712806907
dist_bin1,aucroc,0.5463406640291651,0.5661209086165193,1642,0.15164433617539586,mcpas,atm_tcr,0.5339788697519253
dist_bin2,aucroc,0.5486240014847694,0.5924692876429591,1642,0.15529841656516444,mcpas,atm_tcr,0.7051748899206589
dist_bin3,aucroc,0.5569326113515497,0.6001008451786402,1642,0.1668696711327649,mcpas,atm_tcr,0.7865325911764819
dist_bin4,aucroc,0.5555402396985561,0.6224747474747474,1642,0.1559074299634592,mcpas,atm_tcr,0.8470570466626293
dist_bin5,aucroc,0.5537580375107554,0.599445909992785,1642,0.1559074299634592,mcpas,atm_tcr,0.9047020119129261
dist_bin6,aucroc,0.5464112496648711,0.5965059519851034,1642,0.16747868453105969,mcpas,atm_tcr,0.9728465910491021
dist_bin7,aucroc,0.5470137449113415,0.6004135131922312,1645,0.15440729483282675,mcpas,atm_tcr,1.144455166767911
dist_bin0,aucroc,0.6397936489217446,0.5323514429948606,1195,0.24351464435146444,iedb_sars,atm_tcr,-2.8494198363494925
dist_bin1,aucroc,0.6317870602778256,0.4866915633121342,1195,0.15732217573221757,iedb_sars,atm_tcr,-1.8751265174296372
dist_bin2,aucroc,0.6386417654534362,0.47711476186715107,1195,0.03682008368200837,iedb_sars,atm_tcr,-1.7392045453890952
dist_bin3,aucroc,0.6347959562789633,0.4687761370024543,1195,0.11548117154811716,iedb_sars,atm_tcr,-1.3275332651908547
dist_bin4,aucroc,0.6392059664209943,0.5090837282780412,1195,0.17656903765690377,iedb_sars,atm_tcr,-0.42053277465555666
dist_bin5,aucroc,0.63196218041207,0.46081122553365617,1195,0.14393305439330545,iedb_sars,atm_tcr,-0.34396287762127137
dist_bin6,aucroc,0.6329403106695647,0.46993906567366284,1195,0.11715481171548117,iedb_sars,atm_tcr,-0.17260167929790748
dist_bin7,aucroc,0.6445360776961532,0.5140137201325504,1197,0.13951545530492898,iedb_sars,atm_tcr,0.9329412629780557
dist_bin0,aucroc,0.9587985001894813,0.9399206225815367,1504,0.2872340425531915,seen_test,blosum_rf,-3.262627235475151
dist_bin1,aucroc,0.8336652022650861,0.8392712153876305,1504,0.25398936170212766,seen_test,blosum_rf,-3.0556155824057636
dist_bin2,aucroc,0.7696142542789237,0.7589169650087372,1504,0.21010638297872342,seen_test,blosum_rf,-3.007355574123783
dist_bin3,aucroc,0.7406096488220505,0.693119250762291,1504,0.2214095744680851,seen_test,blosum_rf,-2.976203218894754
dist_bin4,aucroc,0.7287203844401962,0.712258720961952,1504,0.20345744680851063,seen_test,blosum_rf,-2.9440069065932954
dist_bin5,aucroc,0.7388028067708031,0.6941714225322343,1504,0.22739361702127658,seen_test,blosum_rf,-2.8854112665761065
dist_bin6,aucroc,0.5761218193721358,0.5205634044010617,1504,0.15226063829787234,seen_test,blosum_rf,-1.054723026038532
